"Statistic Label","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment Rate","1998 January","15 - 74 years","Both sexes","%","8.7"
"Seasonally Adjusted Monthly Unemployment Rate","1998 February","15 - 74 years","Both sexes","%","8.9"
"Seasonally Adjusted Monthly Unemployment Rate","1998 March","15 - 74 years","Both sexes","%","8.8"
"Seasonally Adjusted Monthly Unemployment Rate","1998 April","15 - 74 years","Both sexes","%","8.2"
"Seasonally Adjusted Monthly Unemployment Rate","1998 May","15 - 74 years","Both sexes","%","7.9"
"Seasonally Adjusted Monthly Unemployment Rate","1998 June","15 - 74 years","Both sexes","%","7.6"
"Seasonally Adjusted Monthly Unemployment Rate","1998 July","15 - 74 years","Both sexes","%","7.4"
"Seasonally Adjusted Monthly Unemployment Rate","1998 August","15 - 74 years","Both sexes","%","7.2"
"Seasonally Adjusted Monthly Unemployment Rate","1998 September","15 - 74 years","Both sexes","%","7.2"
"Seasonally Adjusted Monthly Unemployment Rate","1998 October","15 - 74 years","Both sexes","%","6.9"
"Seasonally Adjusted Monthly Unemployment Rate","1998 November","15 - 74 years","Both sexes","%","6.6"
"Seasonally Adjusted Monthly Unemployment Rate","1998 December","15 - 74 years","Both sexes","%","6.5"
"Seasonally Adjusted Monthly Unemployment Rate","1999 January","15 - 74 years","Both sexes","%","6.4"
"Seasonally Adjusted Monthly Unemployment Rate","1999 February","15 - 74 years","Both sexes","%","6.2"
"Seasonally Adjusted Monthly Unemployment Rate","1999 March","15 - 74 years","Both sexes","%","6.2"
"Seasonally Adjusted Monthly Unemployment Rate","1999 April","15 - 74 years","Both sexes","%","6.1"
"Seasonally Adjusted Monthly Unemployment Rate","1999 May","15 - 74 years","Both sexes","%","6.1"
"Seasonally Adjusted Monthly Unemployment Rate","1999 June","15 - 74 years","Both sexes","%","5.8"
"Seasonally Adjusted Monthly Unemployment Rate","1999 July","15 - 74 years","Both sexes","%","5.6"
"Seasonally Adjusted Monthly Unemployment Rate","1999 August","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","1999 September","15 - 74 years","Both sexes","%","5.4"
"Seasonally Adjusted Monthly Unemployment Rate","1999 October","15 - 74 years","Both sexes","%","5.4"
"Seasonally Adjusted Monthly Unemployment Rate","1999 November","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","1999 December","15 - 74 years","Both sexes","%","5.2"
"Seasonally Adjusted Monthly Unemployment Rate","2000 January","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2000 February","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2000 March","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2000 April","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2000 May","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2000 June","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2000 July","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2000 August","15 - 74 years","Both sexes","%","4.2"
"Seasonally Adjusted Monthly Unemployment Rate","2000 September","15 - 74 years","Both sexes","%","4.1"
"Seasonally Adjusted Monthly Unemployment Rate","2000 October","15 - 74 years","Both sexes","%","3.9"
"Seasonally Adjusted Monthly Unemployment Rate","2000 November","15 - 74 years","Both sexes","%","3.9"
"Seasonally Adjusted Monthly Unemployment Rate","2000 December","15 - 74 years","Both sexes","%","3.9"
"Seasonally Adjusted Monthly Unemployment Rate","2001 January","15 - 74 years","Both sexes","%","4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 February","15 - 74 years","Both sexes","%","4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 March","15 - 74 years","Both sexes","%","3.9"
"Seasonally Adjusted Monthly Unemployment Rate","2001 April","15 - 74 years","Both sexes","%","3.9"
"Seasonally Adjusted Monthly Unemployment Rate","2001 May","15 - 74 years","Both sexes","%","4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 June","15 - 74 years","Both sexes","%","4.1"
"Seasonally Adjusted Monthly Unemployment Rate","2001 July","15 - 74 years","Both sexes","%","4.3"
"Seasonally Adjusted Monthly Unemployment Rate","2001 August","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 September","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 October","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2001 November","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2001 December","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2002 January","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2002 February","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2002 March","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2002 April","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2002 May","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2002 June","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2002 July","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2002 August","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2002 September","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2002 October","15 - 74 years","Both sexes","%","5.1"
"Seasonally Adjusted Monthly Unemployment Rate","2002 November","15 - 74 years","Both sexes","%","5.4"
"Seasonally Adjusted Monthly Unemployment Rate","2002 December","15 - 74 years","Both sexes","%","5.3"
"Seasonally Adjusted Monthly Unemployment Rate","2003 January","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2003 February","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2003 March","15 - 74 years","Both sexes","%","4.7"
