"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1970 January","State","Euro Thousand","50898"
"Total Exports (Seasonally Adjusted)","1970 February","State","Euro Thousand","49130"
"Total Exports (Seasonally Adjusted)","1970 March","State","Euro Thousand","45987"
"Total Exports (Seasonally Adjusted)","1970 April","State","Euro Thousand","50870"
"Total Exports (Seasonally Adjusted)","1970 May","State","Euro Thousand","47652"
"Total Exports (Seasonally Adjusted)","1970 June","State","Euro Thousand","45054"
"Total Exports (Seasonally Adjusted)","1970 July","State","Euro Thousand","46772"
"Total Exports (Seasonally Adjusted)","1970 August","State","Euro Thousand","50062"
"Total Exports (Seasonally Adjusted)","1970 September","State","Euro Thousand","50598"
"Total Exports (Seasonally Adjusted)","1970 October","State","Euro Thousand","51369"
"Total Exports (Seasonally Adjusted)","1970 November","State","Euro Thousand","51609"
"Total Exports (Seasonally Adjusted)","1970 December","State","Euro Thousand","53929"
"Total Exports (Seasonally Adjusted)","1971 January","State","Euro Thousand","59984"
"Total Exports (Seasonally Adjusted)","1971 February","State","Euro Thousand","52309"
"Total Exports (Seasonally Adjusted)","1971 March","State","Euro Thousand","54622"
"Total Exports (Seasonally Adjusted)","1971 April","State","Euro Thousand","54979"
"Total Exports (Seasonally Adjusted)","1971 May","State","Euro Thousand","56805"
"Total Exports (Seasonally Adjusted)","1971 June","State","Euro Thousand","58547"
"Total Exports (Seasonally Adjusted)","1971 July","State","Euro Thousand","55753"
"Total Exports (Seasonally Adjusted)","1971 August","State","Euro Thousand","57413"
"Total Exports (Seasonally Adjusted)","1971 September","State","Euro Thousand","56956"
"Total Exports (Seasonally Adjusted)","1971 October","State","Euro Thousand","51313"
"Total Exports (Seasonally Adjusted)","1971 November","State","Euro Thousand","55625"
"Total Exports (Seasonally Adjusted)","1971 December","State","Euro Thousand","67927"
"Total Exports (Seasonally Adjusted)","1972 January","State","Euro Thousand","58685"
"Total Exports (Seasonally Adjusted)","1972 February","State","Euro Thousand","60458"
"Total Exports (Seasonally Adjusted)","1972 March","State","Euro Thousand","63009"
"Total Exports (Seasonally Adjusted)","1972 April","State","Euro Thousand","55781"
